,0
0,5
1,2
2,1
3,4
4,3
5,3
6,4
7,0
8,2
9,2
10,0
11,0
12,0
13,0
14,1
15,2
16,2
17,2
18,0
19,5
20,4
21,1
22,5
23,3
24,1
25,6
26,3
27,0
28,5
29,5
30,0
31,3
32,0
33,2
34,6
35,1
36,2
37,3
38,5
39,0
40,2
41,2
42,1
43,1
44,6
45,2
46,0
47,2
48,0
49,0
50,6
51,1
52,2
53,1
54,3
55,6
56,0
57,1
58,6
59,0
60,1
61,5
62,5
63,4
64,2
65,1
66,1
67,0
68,6
69,4
70,0
71,6
72,1
73,0
74,5
75,4
76,5
77,6
78,2
79,3
80,5
81,1
82,5
83,4
84,0
85,1
86,2
87,2
88,4
89,6
90,2
91,2
92,1
93,2
94,2
95,1
96,1
97,0
98,5
99,0
100,1
101,0
102,2
103,2
104,1
105,2
106,4
107,2
108,6
109,6
110,0
111,0
112,1
113,6
114,1
115,2
116,6
117,2
118,1
119,0
120,0
121,0
122,1
123,2
124,2
125,2
126,3
127,5
128,5
129,2
130,1
131,1
132,2
133,0
134,2
135,0
136,1
137,1
138,1
139,2
140,0
141,3
142,5
143,5
144,2
145,6
146,2
147,0
148,2
149,0
150,4
151,5
152,0
153,0
154,2
155,1
156,3
157,5
158,1
159,4
160,0
161,2
162,0
163,1
164,6
165,2
166,2
167,2
168,6
169,6
170,5
171,4
172,2
173,2
174,1
175,2
176,0
177,2
178,1
179,0
180,0
181,4
182,0
183,2
184,3
185,4
186,0
187,0
188,1
189,0
190,0
191,1
192,3
193,0
194,3
195,1
196,6
197,4
198,0
199,0
200,6
201,5
202,1
203,0
204,0
205,5
206,2
207,1
208,0
209,2
210,4
211,6
212,2
213,2
214,3
215,2
216,2
217,1
218,0
219,0
220,4
221,1
222,0
223,2
224,4
225,1
226,3
227,6
228,2
229,2
230,1
231,1
232,2
233,1
234,2
235,0
236,2
237,4
238,4
239,3
240,0
241,6
242,0
243,2
244,0
245,0
246,1
247,5
248,4
249,3
250,0
251,6
252,0
253,0
254,1
255,1
256,1
257,3
258,0
259,6
260,2
261,1
262,2
263,6
264,0
265,0
266,6
267,6
268,0
269,2
270,6
271,0
272,0
273,1
274,4
275,5
276,6
277,0
278,2
279,2
280,1
281,2
282,5
283,2
284,4
285,1
286,2
287,2
288,2
289,6
290,6
291,2
292,2
293,1
294,2
295,6
296,6
297,0
298,0
299,4
300,1
301,1
302,0
303,1
304,0
305,6
306,0
307,0
308,3
309,1
310,2
311,2
312,0
313,0
314,2
315,6
316,0
317,6
318,1
319,1
320,2
321,2
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,2
330,0
331,0
332,1
333,2
334,3
335,2
336,1
337,6
338,2
339,0
340,1
341,1
342,1
343,2
344,6
345,3
346,0
347,2
348,2
349,6
350,0
351,0
352,4
353,4
354,0
355,2
356,0
357,0
358,3
359,2
360,3
361,0
362,6
363,1
364,1
365,1
366,1
367,1
368,0
369,2
370,3
371,0
372,2
373,6
374,2
375,2
376,5
377,4
378,1
379,3
380,0
381,2
382,4
383,6
384,5
385,3
386,1
387,0
388,0
389,4
390,2
391,1
392,4
393,1
394,5
395,0
396,2
397,2
398,0
399,1
400,4
401,1
402,2
403,6
404,2
405,3
406,5
407,0
408,1
409,6
410,0
411,0
412,6
413,0
414,2
415,5
416,0
417,1
418,0
419,2
420,0
421,1
422,0
423,0
424,0
425,6
426,5
427,3
428,1
429,6
430,0
431,1
432,4
433,2
434,3
435,2
436,1
437,3
438,5
439,1
440,6
441,0
442,6
443,1
444,5
445,4
446,0
447,1
448,5
449,1
450,4
451,6
452,3
453,2
454,1
455,2
456,2
457,6
458,1
459,4
460,5
461,0
462,2
463,5
464,4
465,3
466,5
467,1
468,0
469,6
470,0
471,6
472,0
473,3
474,2
475,0
476,2
477,1
478,0
479,2
480,0
481,6
482,1
483,4
484,5
485,5
486,5
487,2
488,6
489,2
490,6
491,2
492,2
493,1
494,1
495,0
496,2
497,2
498,1
499,6
500,2
501,6
502,0
503,2
504,2
505,6
506,1
507,6
508,3
509,2
510,5
511,2
512,0
513,6
